Username,Published At,Likes,Replies,Comment
@BBCAfrica,04/10/2023 15:21,5,3,"🚨UPDATE 04/10/23: Kenyan hospital employee Fred Leparan, who was caught selling a baby on the black market by #BBCAfricaEye, has been sentenced to 25 years in jail. https://bbc.in/3ZJf4p3"
@jazzy5975,02/10/2023 18:23,0,0,This is a systematic problem. We keep the people fighting for food a roof over their head and good Healthcare and misuse everything that a person needs to make a simple living. Everybody is in survival mood some more than others. And when greed becomes a part of it we stop caring about others 😭😭😭😭😭. This happens everywhere we just got some insight
@motherearth5462,29/09/2023 05:48,2,1,You did nothing for that abducted baby.. SHAME ON YOU!!!!! The Documentary was more important huh?!!!!!! 😢😢😢😢😢😢
@sambadumbuya5770,27/09/2023 20:26,1,0,This is sad! Imagine selling an innocent baby. Human being have become so evil.
@brianminsk8,24/09/2023 06:18,43,0,They could not have chosen a better documentary presenter than this woman. She was so amazing to watch. You can tell she cares.
@hzlkelly,23/09/2023 10:45,1,0,This is truly my worst fear in life.
@fulbertequellery,14/09/2023 17:11,3,0,This document frustrated the crap out of me. What's the point. Even with full video evidence I didn't see any police arrest. Again what is the point??????????
@user-xb3sh1gk6q,13/09/2023 20:24,3,0,"how in the world did you let the baby out of your sight? you cared too much about the camera,I need not to say more."
@khomotsolegodi6927,13/09/2023 16:58,2,0,Satan..horrible 😢
@Kensedouce,11/09/2023 00:22,2,0,"Salut, je viens de  suivre  votre  enquête, c'est  une  bonne  chose, mais  je  vous  prie  de bien revoir  le cas  de  l'acouchese , peut-être  'aidé  à avoir son   l'orphelinat  et  a  légalisé  les  choses.  Peut  être  que  ces  femmes  allaient  avorter  ou même  tué  ces enfants,  merci"
@ntlakukondhovebkr8901,11/09/2023 00:10,2,1,This documentary was a failure. No arrest made😢😢😢
@beckybonsubrown4794,10/09/2023 19:15,3,0,I confused. Why are they not arrested? There are so many evidence. Why is the police not doing anything?
@denisomal5877,08/09/2023 07:37,2,0,"For over 2 years since this story ran, these baby stealers were never convicted 🤔"
@tracyknox8558,07/09/2023 13:21,2,1,🧑🏽‍💻💯 Badd 🎥 🇰🇪 🇰🇪🇰🇪 🔥🔥 burn in hell.  Compton California USA 🇺🇸
@ene6186,07/09/2023 09:20,3,1,"It breaks my heart that the baby was not rescued from Anita, and Anita was not apprehended 😢😢😢. What a shame!"
@taradavid1404,07/09/2023 00:46,3,0,Thank you for helping children and mothers I hope to help you one day
@taradavid1404,07/09/2023 00:04,3,0,"Try looking in orphanages in ur country as well as others. It’s evil legal business in some cases depending on who owns, runs, and profits from. If they profit from those are ones they may end up in."
@BBCAfrica,06/09/2023 14:23,47,2,🚨UPDATE 06/09/23:  Kenyan hospital employee caught by #BBCAfricaEye selling a baby on the black market has been convicted of child trafficking: https://bbc.in/3r1HsGg
@davidonditi7557,06/09/2023 12:09,13,0,Just some update: Fred Leparan and Selina Adundo found guilty of child trafficking. Awaiting sentencing.
@lisawilson3360,04/09/2023 00:15,2,0,How horrible the world is this way it is this way everywhere it is just more prevalent and in-your-face here God bless all the children in peril
@user-zf8wh5fu8i,01/09/2023 00:11,1,1,Why inform the pubic if your not doing anything your report angerd me no on did anything can you imagine how friend that child could be before it gets sacrificd??? Why didn't anyone do anything??
@user-zf8wh5fu8i,01/09/2023 00:08,3,0,"Yes why didn't you arrested Anita right there and these hen why? I'm blaming the police station as well,and why did that police officer show up? Someone from the police is involved someone informed anita"
@selmaamutenya8159,27/08/2023 16:47,2,0,But you guys are not serious yes you saved the baby but the man at the hospital you just leave him like that...
@gesageermann,23/08/2023 18:45,2,0,I would kill and give my life for my children 💔
@gesageermann,23/08/2023 18:45,2,0,They sell them to the elites and they use the babies bloods and eat their flesh in the western world and most possibly in all of Africa maybe….also some use these babies and children for political and fake organizations… but God sees it all and one day He will wreck vengeance on all evil people..
@itsme2365,22/08/2023 12:16,2,0,So nobody was held responsible????
@florencebonabaana8848,18/08/2023 18:13,2,0,Oh my God!!! No arrests????
@badmanyaya2338,15/08/2023 14:55,1,1,I think the hospital scene was staged.... The guy keeps looking at the camera
@user-ld5ls2qj4s,15/08/2023 07:05,2,0,you should have arrested them....
@annkamau1182,13/08/2023 18:08,3,0,This is the worst  investigation. They were not. Arrested
@Demongirl405,11/08/2023 01:48,2,0,"My Mama is going to be terrified when she looks at the title of the video

Terrified is not the right word I should've said mortified"
@tombimashri8149,10/08/2023 23:26,3,0,"How sad this is I trully feel for these mothers who loosing their chidren, Could they be selling babys also to other african countrys, just a thought"
@tombimashri8149,10/08/2023 23:06,2,0,Please could u turn on english subtitles. X you
@user-od5fh3gn4d,10/08/2023 15:39,2,0,"This is what transhumanist tech moguls want, the sale of women and children to be universally legalized."
@rachelmaina3476,09/08/2023 13:29,1,0,As you expose this please engage DCI child protection Unit and produce evidence for action
@peshable,08/08/2023 14:50,2,0,Gut wrenching 😫😫😫
@BeatriceOmwaka,08/08/2023 08:34,0,0,"Anita ni mwerevu hafanyi hii kazi pekee yake nashuku kuna police alimu_ signal na also hapo kwa Street "" mashefa"" wanajua mtu mgeni na idler"
@mercymerlin887,07/08/2023 09:19,3,0,Mary is the right definition of the devil’s advocate 😢
@kaygeekidd,28/07/2023 16:03,2,0,"Wait, so they never got arrested? TF? 😮 I expected that doctor to be arrested soon as he accepted the money😤😤😤😤😤😤😤😤💔💔💔💔💔💔💔💔 this is BS"
@kaygeekidd,28/07/2023 15:24,3,0,Making babies while living in the streets? 😮
@boyothapresident,27/07/2023 16:11,1,0,"Y’all meeting with Anita and several occasions and let them eviil safe out there, get her and why didn’t y’all safe the baby when God purely given you the opportunity to but y’all just choose to documented it and who knows what’s the baby girl going through right now 💔"
@boyothapresident,27/07/2023 16:07,3,0,The police was there the journalist was there selling baby infront if camera nothing happen to them is a big disappointment. Confront him at the hospital play all the videos
@boyothapresident,27/07/2023 16:06,3,0,The fact that the first baby weren’t safe and the seller (trafficker) wasn’t held accountable and the 2nd part the doctor went back to work at the hospital plus the local pharmacy operating still hurts me a lot. I’m from The Gambia watching this isn’t not fare for Africans to behave this way on they fellow family man. This saddened me azf man ong 💔
@uniquep.a8662,26/07/2023 18:26,0,2,U did not even try to arrest any of these three enemies of the society. What actually is the end motive for this report?
@Babiyemilitanz,18/07/2023 14:32,1,0,Is there anything done about this??? 😢😢 Oo God d
@mirteshappy1,18/07/2023 01:24,20,0,"Evidently, Anita was tipped off by someone who was a part of or knew of the sting operation. I am disturbed that they allowed that woman to leave with that baby. 😮"
@Berlin_Devereux,13/07/2023 23:14,1,0,Why was NO ONE arrested?!?!
@asg-emperor,13/07/2023 22:38,1,0,Why are they bringing children if can’t take care of the children hope they end up in the deepest of hell 🤬
@sheilanjoki7028,30/06/2023 19:11,0,0,Oh Jesus have mercy!!! Oh Lord please we are crying for you. This is so painful!
@rianendegwa8349,27/06/2023 07:12,0,0,How did you not come with the police for all these meetings? The information n evidence was right infront of you. This is sad n infuriating but informative though!
@muchirikinyua2788,23/06/2023 10:01,0,0,@ Njeri The way my comments are remove every time I type about this business here...Knowledge is power!!!
@rhondaharrera1625,23/06/2023 06:54,0,0,Am i the only one that's wondering why the recorded evidence of these crimes aren't sent in to police??
@kindzekalesley1041,11/06/2023 16:53,1,0,"This documentary is heartbreaking, moreso to the fact that well-known criminals are operating freely. With Mary operating her clinic after this documentary, for  Fred to be free and still working in that Mama Lucy Kibaki Hospital is something I can't comprehend. Is the police complicit is inhumane criminality? 😭 😭 😭 😭"
@jondembo511,08/06/2023 07:26,1,0,"I'm sorry but if you are homeless and living on the streets and babies are being stolen...  why the heck aren't these women either on birth control or just stop having sex??!! If you cannot keep a child safe and provide them a good safe life, stop having sex!! I'd stop having sex so I wouldn't have to have another baby  stolen!!  Sex  isn't worth the life of a child and the sorrow of not knowing where your child is and what happened to them. Do these people know about how not to have babies?? Living on the streets and pushng out baby after baby after baby is child abuse and to keep having babies you cannot take care of and provide them safety and a home, then stop having sex until you are married to a good man who has a job and can provide for a family....  There are ways to get sexual pleasure to a man and woman that do not cause pregnancy.  These people should think of their future children's well being and to stop having babies."
@jondembo511,08/06/2023 07:07,2,0,As a mother of 2 sons my heart is grief-stricken for these mothers. Not knowing who took your child and where they are and what has happened to them would destroy your life. Child sacrifice happens around the world by Satanists who desire wealth and success. Satan loves innocent blood.  May God give some kind of peace to the mothers and fathers and siblings of this utterly evil organization.  Precious babies used then discarded like trash. Sickening absolutely sickening. The love of money is the root of all evil.
@veracorreia4579,05/06/2023 16:43,1,0,"If only the corrupted evil media  had this kind of information 24/7 like they do with stupidity,  maybe then good humans would revolt against tyranny and end it! Yet they distract us with bs. It is infuriating to witness it!"
@blathnaidsherry4035,28/05/2023 19:06,0,0,Why was Fred not handed into the police wity video evidence?
@gamuchiraishantelchawandiza,26/05/2023 21:13,1,0,The way am holding  my child right  now oh God have mercy poor mothers
@lordiswithme2677,25/05/2023 13:27,1,2,pray to JESUS. there is no other way .
@cherrybreed8207,25/05/2023 01:08,1,0,"What's the point of this documentary if nothing is done to these people. Right now I don't know who I am more angry with, this reporter or these wicked people.. what has this reporter done with this information besides writing letters to these people? Have you gone to the police, politicians or community leaders to stop them? Or is the purpose just for sensationalism?"
@mannie7028,22/05/2023 19:14,1,1,So ... islamists pay above the rate for a baby boy ? Why?
@mannie7028,22/05/2023 19:02,1,0,Why is a very good question. But why are rich Kenyans unable to have their own children? Presumably most of these women have been raped. Is Kenya so barbaric and uneducated?
@imhotep5279,17/05/2023 22:28,1,0,"This goes without apology or remorse . You've been foolish ! Extremely ! Some of the questions you asked the trafficker ( Anita ) .. upon reflection by any thoughtful criminal will always resound suspicious . 
Secondly , there's no honor among criminals , the honor of keeping a promise or rendez-vous is inexistent . Money is paramount ! You bait her with an upfront fee and an offer slightly above the maximum market price .
 Lastly , I doubt there's any proper  police involvement in this . In such cases , you assign a spy to execute constant monitoring . If this is how Kenyan police operates , then it's always a field day for the average smart criminal .
  ( Edit ) what problem are you solving if you do not arrest and prosecute those villains ?"
@MsAngelali,17/05/2023 21:31,1,0,It sounds like she was tipped off by someone in law enforcement.
@vincytreasure,16/05/2023 21:45,1,0,Plot twist... that Covid cop works for Anita's boss who was tipped off about the sting
@dawi8929,16/05/2023 18:31,1,0,"I'm sure it's reports worth seeing by as many people as possible. Unfortunately, not everyone speaks (enough) English to understand the content.
The 'subtitle' option would not only be desirable, but urgently needed."
@Vanillabean9143,16/05/2023 15:44,2,0,Another thing is i dont even trst the home the abandoned babys went to its to many crooked people smh
@Vanillabean9143,16/05/2023 14:53,1,0,This is how madonna and those people get kids to r word and sacrifice at Epstein island and bohemian Grove tge kids she adopted are missing from parents who tried to get them back look it up smh
@jaderose7917,16/05/2023 10:37,14,0,My heart aches for the beautiful little girl that was sold to someone offering more. She was so close to being saved and I hope and pray wherever she is that she’s safe and happy 😔
@jasonmuller1199,14/05/2023 11:24,0,0,Why would anyone want to steal a lil snot machine
@joe_seth,10/05/2023 10:56,0,0,"The journalist and the police involved are just downright stupid and a bunch of idiots. They should all be arrested and imprisoned for mismanaging the Anita incident. Why play the stupid undercover shit when that child could have been saved there and there and Anita arrested immediately? If they wanted more investigation, they should have just followed Anita to her original buyer. Now we have Anita- a child snatcher and unknown buyers still in the street. Seems like holding a camera and airing a documentary is more important than a child's life."
@CarinaPiersay,10/05/2023 09:29,1,0,Why weren’t the police involved? Why wasn’t Fred arrested? 🤷🏻‍♀️ So he just gets away with it?
@refilwemokgethi9374,09/05/2023 08:54,1,0,God protect africans
@user-cf6ek8ze7l,07/05/2023 05:07,1,0,Like why a small baby
@catherinemccann895,05/05/2023 01:53,1,0,DO SOMETHING
@catherinemccann895,05/05/2023 01:49,1,0,How do you sleep at night
@catherinemccann895,05/05/2023 01:46,2,0,No point in making a film about this when no one is going to do anything????????????????????????
@teefallon8852,04/05/2023 20:28,2,1,"This breaks my heart, but I'm grateful that this was made so maybe it can be taken more seriously, and hopefully help to bring down some of these people and save as many children as possible."
@jeneenfortenberry4903,03/05/2023 10:50,2,0,so heart breaking those poor moms I can't imagine what they are going through
@marcellacole6132,02/05/2023 21:13,0,0,"black genes are cures for somany health issues, and once they steal what they want them, they destroy the root of our lands and leave us to die in their pain that they placed upon us as a burdens to hold."
@marcellacole6132,02/05/2023 21:09,2,0,"children have been kidnapped for years, many reasons to recruit  displace ,programmed, for so many unorthodox purposes, black people if you only knew, how priceless you are to the worlds survival, they would rather them then be honest with what they need from our resources and natural supplies for the world's lives, we are the world!!!!"
@denisel265,02/05/2023 19:38,7,0,Thank you for doing this and bringing attention to these despicable crimes. God bless all the Mama’s and their lost children.
@Fatma-mx6cc,30/04/2023 16:12,1,0,"It makes me sick how these people are selling babies like they are God.  This guy selling the babies is scared about how he might get in trouble, but not caring one bit about the mothers life he destroyed!!!  Being adopted or orphaned as a child is difficult too, they always wonder why they were given away and need lots of help through this painful process."
@bastikali9268,30/04/2023 15:37,1,0,400 dollar for a kid pretty cheap most exotic animals are more expenisve. if the hospitals are in the cops are too and the child house too. i bet you warned anita. BLACKPOWER🤡
@bastikali9268,30/04/2023 14:49,0,0,yy it is the white mans fault.
@berylodawa3849,29/04/2023 16:05,7,1,"This story hits differently now that I'm a mother, may God protect our children🙏"
@hantieprins3891,28/04/2023 13:16,1,0,The culture is schocking ...barbaric...
